customer_id,customer_name,email,registration_date,customer_type
CUST0001,Pooja Gupta,pooja.gupta@example.com,2025-12-29,REGULAR
CUST0002,Meera Roy,meera.roy@example.com,2025-11-24,VIP
CUST0003,Riya Gupta,riya.gupta@example.com,2025-12-07,PREMIUM
CUST0004,Suresh Reddy,suresh.reddy@example.com,2025-08-19,REGULAR
CUST0005,Suresh Iyer,suresh.iyer@example.com,2025-10-29,PREMIUM
CUST0006,Sunita Mishra,sunita.mishra@example.com,2024-09-21,VIP
CUST0007,Manish Gupta,manish.gupta@example.com,2026-01-26,PREMIUM
CUST0008,Siddharth Mishra,siddharth.mishra@example.com,2025-05-06,VIP
CUST0009,Sunita Nair,sunita.nair@example.com,2024-11-28,PREMIUM
CUST0010,Pranav Reddy,pranav.reddy@example.com,2026-03-07,VIP
CUST0011,Priya Iyer,priya.iyer@example.com,2025-11-15,PREMIUM
CUST0012,Sneha Gupta,sneha.gupta@example.com,2025-06-29,REGULAR
CUST0013,Rohan Choudhury,rohan.choudhury@example.com,2024-12-10,REGULAR
CUST0014,Rahul Singh,rahul.singh@example.com,2025-11-06,REGULAR
CUST0015,Riya Sen,riya.sen@example.com,2025-10-06,PREMIUM
CUST0016,Sneha Gupta,sneha.gupta@example.com,2024-08-24,PREMIUM
CUST0017,Ganesh Reddy,ganesh.reddy@example.com,2024-09-19,REGULAR
CUST0018,Aditi Mehta,aditi.mehta@example.com,2025-04-15,PREMIUM
CUST0019,Aarav Gupta,aarav.gupta@example.com,2024-12-26,VIP
CUST0020,Nikhil Desai,nikhil.desai@example.com,2025-05-28,VIP
CUST0021,Pooja Choudhury,pooja.choudhury@example.com,2026-02-25,VIP
CUST0022,Siddharth Sharma,siddharth.sharma@example.com,2025-10-10,PREMIUM
CUST0023,Priya Patel,priya.patel@example.com,2024-11-13,PREMIUM
CUST0024,Siddharth Joshi,siddharth.joshi@example.com,2025-07-30,VIP
CUST0025,Suresh Roy,suresh.roy@example.com,2025-10-29,REGULAR
CUST0026,Pranav Joshi,pranav.joshi@example.com,2024-09-17,REGULAR
CUST0027,Priya Verma,priya.verma@example.com,2026-03-15,VIP
CUST0028,Nikhil Iyer,nikhil.iyer@example.com,2024-10-01,REGULAR
CUST0029,Shreya Joshi,shreya.joshi@example.com,2025-09-29,PREMIUM
CUST0030,Rohan Roy,rohan.roy@example.com,2024-10-18,REGULAR
CUST0031,Meera Desai,meera.desai@example.com,2025-01-15,VIP
CUST0032,Sneha Singh,sneha.singh@example.com,2024-12-24,VIP
CUST0033,Neha Roy,neha.roy@example.com,2024-11-18,VIP
CUST0034,Ganesh Nair,ganesh.nair@example.com,2026-02-02,PREMIUM
CUST0035,Meera Mishra,meera.mishra@example.com,2026-03-22,REGULAR
CUST0036,Rahul Roy,rahul.roy@example.com,2024-12-11,VIP
CUST0037,Shreya Sen,shreya.sen@example.com,2024-08-22,PREMIUM
CUST0038,Kavita Choudhury,kavita.choudhury@example.com,2025-06-07,REGULAR
CUST0039,Sunita Pillai,sunita.pillai@example.com,2025-04-07,REGULAR
CUST0040,Ganesh Desai,ganesh.desai@example.com,2024-09-07,VIP
CUST0041,Pranav Mehta,pranav.mehta@example.com,2026-01-28,VIP
CUST0042,Neha Reddy,neha.reddy@example.com,2025-04-06,VIP
CUST0043,Aarav Patel,aarav.patel@example.com,2025-07-24,PREMIUM
CUST0044,Sanjay Gupta,sanjay.gupta@example.com,2025-02-22,PREMIUM
CUST0045,Aarav Pillai,aarav.pillai@example.com,2025-03-17,REGULAR
CUST0046,Amit Bose,amit.bose@example.com,2025-01-27,PREMIUM
CUST0047,Sunita Roy,sunita.roy@example.com,2024-10-12,REGULAR
CUST0048,Sunita Mehta,sunita.mehta@example.com,2024-12-04,VIP
CUST0049,Sanjay Verma,sanjay.verma@example.com,2025-07-14,PREMIUM
CUST0050,Neha Patel,neha.patel@example.com,2025-03-10,VIP
CUST0051,Kavita Sen,kavita.sen@example.com,2025-08-08,REGULAR
CUST0052,Kavita Mishra,kavita.mishra@example.com,2025-03-13,VIP
CUST0053,Ganesh Sharma,ganesh.sharma@example.com,2025-12-01,VIP
CUST0054,Isha Pillai,isha.pillai@example.com,2025-08-11,PREMIUM
CUST0055,Kavita Verma,kavita.verma@example.com,2025-12-08,REGULAR
CUST0056,Neha Choudhury,neha.choudhury@example.com,2024-12-27,VIP
CUST0057,Shreya Gupta,shreya.gupta@example.com,2025-10-16,PREMIUM
CUST0058,Kavita Sharma,kavita.sharma@example.com,2025-09-18,PREMIUM
CUST0059,Manish Mishra,manish.mishra@example.com,2025-08-12,VIP
CUST0060,Isha Roy,isha.roygmail.com,2025-04-26,REGULAR
CUST0061,Kavita Joshi,kavita.joshi@example.com,2025-08-13,REGULAR
CUST0062,Vikram Sen,vikram.sen@example.com,2025-09-22,VIP
CUST0063,Meera Reddy,meera.reddy@,2025-07-31,VIP
CUST0064,Pooja Rao,pooja.rao@example.com,2025-02-08,VIP
CUST0065,Ananya Verma,ananya.verma@example.com,2024-09-03,PREMIUM
CUST0066,Aditi Sen,aditi.sen@example.com,2024-10-01,PREMIUM
